Year-Month,Rainfall (mm),Flood Risk
2000-02,0.0,Safe
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2019-01,0.0,Safe
2019-02,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-05,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,0.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,2.0,Safe
2020-02,16.0,Safe
2020-03,0.0,Safe
2020-06,0.0,Safe
2020-07,0.0,Safe
2020-08,166.0,Safe
2020-09,227.6,WARNING
2020-10,0.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,0.0,Safe
2021-05,120.0,Safe
2021-06,335.5,DANGER
2021-07,210.5,WARNING
2021-08,433.5,DANGER
2021-09,60.5,Safe
2021-10,256.0,WARNING
2021-11,0.0,Safe
2021-12,25.0,Safe
2022-01,7.0,Safe
2022-02,10.0,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,67.0,Safe
2022-06,118.0,Safe
2022-07,180.4,Safe
2022-08,218.0,WARNING
2022-09,107.0,Safe
2022-10,82.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-02,0.0,Safe
2023-10,0.0,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,10.0,Safe
2024-06,201.5,WARNING
2024-07,307.4,DANGER
2024-08,320.0,DANGER
2024-09,285.0,WARNING
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
