Year-Month,Rainfall (mm),Flood Risk
1970-02,135.5,Safe
1981-06,108.40000143647194,Safe
1981-07,1456.800006866455,DANGER
1981-08,515.2000024914742,DANGER
1981-09,475.79999577999115,DANGER
1981-10,0.0,Safe
1982-06,153.5999994277954,Safe
1982-07,632.200005069375,DANGER
1982-08,204.79999980330467,WARNING
1982-09,459.60000252723694,DANGER
1982-10,0.0,Safe
1983-06,176.79999542236328,Safe
1983-07,642.8000010550022,DANGER
1983-08,301.6000058054924,DANGER
1983-09,293.79999816417694,WARNING
1983-10,203.599999666214,WARNING
1984-06,338.40000143647194,DANGER
1984-07,1168.8000040650368,DANGER
1984-08,323.60000336170197,DANGER
1984-09,641.9999988079071,DANGER
1984-10,20.0,Safe
1985-06,212.40000134706497,WARNING
1985-07,870.9999950528145,DANGER
1985-08,391.1999944448471,DANGER
1985-09,636.4000066816807,DANGER
1985-10,64.39999967813492,Safe
1986-06,76.80000153183937,Safe
1986-07,506.40001118183136,DANGER
1986-08,389.6000046432018,DANGER
1986-09,372.7999981045723,DANGER
1986-10,100.39999890327454,Safe
1987-06,184.3999992609024,Safe
1987-07,456.0000026524067,DANGER
1987-08,1236.0000033676624,DANGER
1987-09,611.9999959170818,DANGER
1987-10,6.400000095367432,Safe
1988-06,164.40000307559967,Safe
1988-07,482.39999932050705,DANGER
1988-08,655.199997484684,DANGER
1988-09,538.0000098645687,DANGER
1988-10,67.20000040531158,Safe
1989-04,0.0,Safe
1989-06,188.40000167489052,Safe
1989-07,1247.4000000953674,DANGER
1989-08,157.39999967813492,Safe
1989-09,657.9999930858612,DANGER
1989-10,0.4000000059604645,Safe
1990-06,250.20000231266022,WARNING
1990-07,594.8000060468912,DANGER
1990-08,354.40000107884407,DANGER
1990-09,464.80000135302544,DANGER
1990-10,53.79999926686287,Safe
1991-06,54.200000047683716,Safe
1991-07,154.20000237226486,Safe
1991-08,553.2000033855438,DANGER
1991-09,258.599999576807,WARNING
1991-10,0.0,Safe
1992-01,0.30000001192092896,Safe
1992-02,3.100000001490116,Safe
1992-03,0.0,Safe
1992-04,0.0,Safe
1992-05,65.299998909235,Safe
1992-06,127.79999950528145,Safe
1992-07,436.1999985575676,DANGER
1992-08,198.8000026345253,Safe
1992-09,49.800000071525574,Safe
1992-10,22.999999552965164,Safe
1992-11,0.0,Safe
1992-12,0.0,Safe
1993-01,4.899999812245369,Safe
1993-02,14.899999797344208,Safe
1993-03,23.5,Safe
1993-04,17.699999630451202,Safe
1993-05,36.200000643730164,Safe
1993-06,407.19999969005585,DANGER
1993-07,253.69999980926514,WARNING
1993-08,594.3999903798103,DANGER
1993-09,760.200000166893,DANGER
1993-10,103.40000009536743,Safe
1993-11,18.600000776350498,Safe
1993-12,0.0,Safe
1994-01,11.899999737739563,Safe
1994-02,21.90000009536743,Safe
1994-03,0.0,Safe
1994-04,10.300000011920929,Safe
1994-05,46.100000120699406,Safe
1994-06,119.30000048875809,Safe
1994-07,598.8000015616417,DANGER
1994-08,381.4000010192394,DANGER
1994-09,434.6000026464462,DANGER
1994-10,20.40000009536743,Safe
1994-11,14.900000095367432,Safe
1994-12,0.0,Safe
1995-01,7.700000002980232,Safe
1995-02,16.200000405311584,Safe
1995-03,1.7000000029802322,Safe
1995-04,0.0,Safe
1995-05,18.0,Safe
1995-06,344.59999775886536,DANGER
1995-07,284.59999909996986,WARNING
1995-08,1066.4000058174133,DANGER
1995-09,321.20000234246254,DANGER
1995-10,4.400000095367432,Safe
1995-11,51.0,Safe
1995-12,19.199999526143074,Safe
1996-01,31.59999966621399,Safe
1996-02,23.399999275803566,Safe
1996-03,0.0,Safe
1996-04,0.0,Safe
1996-05,18.0,Safe
1996-06,399.400001719594,DANGER
1996-07,444.00000953674316,DANGER
1996-08,564.4000035822392,DANGER
1996-09,292.4000013768673,WARNING
1996-10,198.39999771118164,Safe
1996-11,0.0,Safe
1996-12,0.0,Safe
1997-01,17.999999523162842,Safe
1997-02,0.0,Safe
1997-03,2.0,Safe
1997-04,70.99999916553497,Safe
1997-05,39.40000016987324,Safe
1997-06,489.9999990016222,DANGER
1997-07,1010.7999972105026,DANGER
1997-08,567.0000004470348,DANGER
1997-09,411.59999963641167,DANGER
1997-10,24.099999994039536,Safe
1997-11,1.7999999821186066,Safe
1997-12,34.19999994337559,Safe
1998-01,15.40000033378601,Safe
1998-02,11.5,Safe
1998-03,19.999999225139618,Safe
1998-04,48.399999141693115,Safe
1998-05,30.300000496208668,Safe
1998-06,238.5999976992607,WARNING
1998-07,914.4000005126,DANGER
1998-08,953.2000048160553,DANGER
1998-09,591.5999939441681,DANGER
1998-10,28.49999963492155,Safe
1998-11,26.80000038444996,Safe
1998-12,0.0,Safe
1999-01,0.0,Safe
1999-02,0.4000000059604645,Safe
1999-03,0.0,Safe
1999-04,0.6000000238418579,Safe
1999-05,105.00000025331974,Safe
1999-06,655.3999933004379,DANGER
1999-07,651.0000002980232,DANGER
1999-08,1015.3999757766724,DANGER
1999-09,301.9999942779541,DANGER
1999-10,407.39999437332153,DANGER
1999-11,0.0,Safe
1999-12,0.0,Safe
2000-01,2.7999999076128006,Safe
2000-02,14.900000393390656,Safe
2000-03,0.4000000059604645,Safe
2000-04,54.60000038146973,Safe
2000-05,121.60000038146973,Safe
2000-06,539.0999990701675,DANGER
2000-07,381.8999977707863,DANGER
2000-08,585.9999916553497,DANGER
2000-09,869.5999970436096,DANGER
2000-10,72.00000190734863,Safe
2000-11,0.0,Safe
2000-12,0.0,Safe
2001-01,0.0,Safe
2001-02,0.0,Safe
2001-03,2.799999952316284,Safe
2001-04,15.600000381469727,Safe
2001-05,225.69999980926514,WARNING
2001-06,344.70000064373016,DANGER
2001-07,237.5999998897314,WARNING
2001-08,382.90000116825104,DANGER
2001-09,334.60000824928284,DANGER
2001-10,234.79999327659607,WARNING
2001-11,0.0,Safe
2001-12,0.0,Safe
2002-01,17.299999594688416,Safe
2002-02,1.0000000149011612,Safe
2002-03,0.0,Safe
2002-04,35.90000057220459,Safe
2002-05,97.79999867081642,Safe
2002-06,204.19999885559082,WARNING
2002-07,513.400001168251,DANGER
2002-08,497.4000051021576,DANGER
2002-09,255.30000162124634,WARNING
2002-10,58.300001338124275,Safe
2002-11,0.0,Safe
2002-12,0.0,Safe
2003-01,7.5,Safe
2003-02,57.30000162124634,Safe
2003-03,0.0,Safe
2003-04,34.80000038444996,Safe
2003-05,46.799999952316284,Safe
2003-06,598.099996805191,DANGER
2003-07,272.7999954223633,WARNING
2003-08,449.2000011205673,DANGER
2003-09,275.4000062942505,WARNING
2003-10,195.20000076293945,Safe
2003-11,2.200000047683716,Safe
2003-12,4.400000095367432,Safe
2004-01,43.60000076889992,Safe
2004-02,5.0,Safe
