Year-Month,Rainfall (mm),Flood Risk
2018-11,0.0,Safe
2019-01,0.0,Safe
2019-03,0.0,Safe
2019-04,0.0,Safe
2019-06,0.0,Safe
2019-07,0.0,Safe
2019-08,0.0,Safe
2019-09,20.0,Safe
2019-10,0.0,Safe
2019-11,0.0,Safe
2019-12,0.0,Safe
2020-01,0.0,Safe
2020-02,0.0,Safe
2020-06,254.8,WARNING
2020-07,359.6,DANGER
2020-08,339.0,DANGER
2020-09,196.4,Safe
2020-10,19.4,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,0.0,Safe
2021-04,3.0,Safe
2021-05,170.8,Safe
2021-06,160.2,Safe
2021-07,58.0,Safe
2021-08,334.0,DANGER
2021-09,102.0,Safe
2021-10,258.0,WARNING
2021-11,0.0,Safe
2021-12,35.0,Safe
2022-01,0.0,Safe
2022-02,66.0,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,70.8,Safe
2022-06,104.4,Safe
2022-07,241.8,WARNING
2022-08,107.0,Safe
2022-09,65.2,Safe
2022-10,21.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,23.0,Safe
2023-02,0.0,Safe
2023-03,56.5,Safe
2023-04,60.0,Safe
2023-05,0.0,Safe
2023-06,0.0,Safe
2023-07,0.0,Safe
2023-08,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,0.0,Safe
2024-07,0.0,Safe
2024-08,107.7,Safe
2024-09,132.0,Safe
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
