Year-Month,Rainfall (mm),Flood Risk
2019-06,0.0,Safe
2019-08,0.0,Safe
2020-06,0.0,Safe
2021-02,0.0,Safe
2021-05,0.0,Safe
2021-06,293.6000006198883,WARNING
2021-07,249.79999947547913,WARNING
2021-08,366.3999983072281,DANGER
2021-09,161.80000019073486,Safe
2021-10,91.60000014305115,Safe
2021-11,0.0,Safe
2021-12,0.0,Safe
2022-01,6.400000095367432,Safe
2022-02,10.099999904632568,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,0.0,Safe
2022-06,22.09999990463257,Safe
2022-07,63.59999918937683,Safe
2022-08,18.0,Safe
2022-11,0.0,Safe
2022-12,0.0,Safe
2023-01,0.0,Safe
2023-03,12.0,Safe
2023-04,0.0,Safe
2023-05,0.0,Safe
2023-06,0.0,Safe
2023-07,90.59999990463257,Safe
2023-08,142.99999952316284,Safe
2023-09,176.2000002861023,Safe
2023-10,224.79999947547913,WARNING
2023-11,0.0,Safe
2023-12,0.0,Safe
2024-01,0.0,Safe
2024-02,5.800000071525574,Safe
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,0.0,Safe
2024-06,15.0,Safe
2024-07,121.99999952316284,Safe
2024-08,145.99999856948853,Safe
2024-09,92.59999895095825,Safe
2024-10,4.199999809265137,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
