Year-Month,Rainfall (mm),Flood Risk
1996-06,0.0,Safe
1996-07,0.0,Safe
2009-09,0.0,Safe
2010-06,0.0,Safe
2010-07,0.0,Safe
2010-08,0.0,Safe
2010-09,0.0,Safe
2010-10,0.0,Safe
2011-06,0.0,Safe
2011-07,0.0,Safe
2011-08,0.0,Safe
2011-09,0.0,Safe
2011-10,0.0,Safe
2012-01,0.0,Safe
2012-06,0.0,Safe
2012-07,0.0,Safe
2012-08,0.0,Safe
2012-09,0.0,Safe
2012-10,0.0,Safe
2013-06,0.0,Safe
2013-07,0.0,Safe
2013-08,0.0,Safe
2013-09,0.0,Safe
2013-10,0.0,Safe
2016-01,12.200000000000001,Safe
2016-06,47.5,Safe
2016-07,369.8,DANGER
2016-08,53.0,Safe
2016-09,335.8,DANGER
2016-10,44.6,Safe
2016-11,0.0,Safe
2016-12,0.0,Safe
2017-01,0.0,Safe
2017-02,0.0,Safe
2017-03,73.6,Safe
2017-04,14.0,Safe
2017-05,106.39999999999999,Safe
2017-06,83.0,Safe
2017-07,337.2,DANGER
2017-08,183.4,Safe
2017-09,29.4,Safe
2017-10,0.0,Safe
2017-11,0.0,Safe
2017-12,0.0,Safe
2018-01,0.0,Safe
2018-02,0.0,Safe
2018-03,0.0,Safe
2018-04,13.3,Safe
2018-05,8.6,Safe
2018-06,70.8,Safe
2018-07,91.3,Safe
2018-08,152.2,Safe
2018-09,71.0,Safe
2018-10,0.0,Safe
2018-11,0.0,Safe
2018-12,0.0,Safe
2019-01,0.0,Safe
2019-02,5.4,Safe
2019-03,0.0,Safe
2019-04,2.8,Safe
2019-05,4.0,Safe
2019-06,1418.4,DANGER
2019-07,6527.6,DANGER
2019-08,1575.3,DANGER
2019-09,7007.6,DANGER
2019-10,544.0,DANGER
2019-11,0.0,Safe
2019-12,164.5,Safe
2020-01,48.1,Safe
2020-02,154.5,Safe
2020-03,345.8,DANGER
2020-04,1018.3,DANGER
2020-05,1183.6,DANGER
2020-06,4336.1,DANGER
2020-07,5841.3,DANGER
2020-08,1784.3,DANGER
2020-09,1296.1,DANGER
2020-10,84.0,Safe
2020-11,0.0,Safe
2020-12,0.0,Safe
2021-01,0.0,Safe
2021-02,0.0,Safe
2021-03,4.5,Safe
2021-04,15.8,Safe
2021-05,8199.1,DANGER
2021-06,1038.4,DANGER
2021-07,296.4,WARNING
2021-08,539.5,DANGER
2021-09,326.1,DANGER
2021-10,299.8,WARNING
2021-11,0.0,Safe
2021-12,8.2,Safe
2022-01,4.2,Safe
2022-02,27.400000000000002,Safe
2022-03,0.0,Safe
2022-04,0.0,Safe
2022-05,17359.0,DANGER
2022-06,28951.1,DANGER
2022-07,72982.9,DANGER
2022-08,84942.8,DANGER
2022-09,44599.1,DANGER
2022-10,18966.0,DANGER
2022-11,3212.5,DANGER
2022-12,2430.5,DANGER
2023-01,285.5,WARNING
2023-02,0.0,Safe
2023-03,1237.5,DANGER
2023-04,0.0,Safe
2023-08,1919.5,DANGER
2023-09,1134.0,DANGER
2023-10,12301.5,DANGER
2023-11,26975.5,DANGER
2023-12,28882.0,DANGER
2024-01,11024.5,DANGER
2024-03,0.0,Safe
2024-04,0.0,Safe
2024-05,62.0,Safe
2024-06,217.0,WARNING
2024-07,176.9,Safe
2024-08,481.3,DANGER
2024-09,187.6,Safe
2024-10,0.0,Safe
2024-11,0.0,Safe
2024-12,0.0,Safe
2025-01,0.0,Safe
